"442171426","4017740769","2271970165","379643564","3299852588","752330661","1201735877","2948642143","3502125849","1083686344"
19,19,19,19,19,19,19,19,20,19
19,19,19,19,19,19,19,19,20,19
19,19,19,19,19,19,19,19,20,19
19,19,19,19,19,19,19,19,20,19
19,19,19,19,19,19,19,19,20,19
19,19,19,19,19,19,19,19,20,19
19,19,19,19,19,19,19,19,20,19
19,19,19,24,20,19,19,19,27,29
33,25,19,32,29,25,24,42,52,42
63,65,38,73,39,33,67,80,93,75
91,93,47,98,40,64,105,96,148,109
142,142,75,108,71,99,144,132,197,158
186,163,130,158,106,112,171,181,231,188
214,194,158,199,147,152,180,217,242,222
234,208,165,212,177,169,190,219,261,236
244,230,171,220,217,181,192,227,279,247
263,267,174,266,285,212,212,266,321,252
310,357,185,328,349,231,245,332,403,305
388,440,208,415,372,282,317,415,504,424
571,557,250,540,454,338,430,516,658,599
805,721,298,682,552,475,539,691,915,820
1030,867,405,783,670,588,661,893,1145,927
1193,1017,489,881,771,737,793,1097,1396,1073
1455,1297,604,1114,1040,952,993,1339,1666,1410
1688,1540,712,1342,1380,1171,1164,1604,1940,1724
1930,1749,817,1581,1668,1419,1325,1811,2216,1953
2226,2000,917,1886,2003,1622,1453,2065,2524,2205
2612,2366,1038,2259,2428,1830,1650,2380,2857,2538
3006,2686,1093,2513,2705,1988,1928,2689,3290,2813
3428,3095,1179,2837,3005,2300,2311,3121,3836,3162
4258,3735,1433,3408,3536,2925,2808,3612,4701,3783
5102,4357,1761,4013,4238,3581,3358,4193,5524,4507
5928,4961,2185,4633,4907,4179,4029,4832,6299,5329
6697,5488,2610,5259,5569,4826,4594,5416,7032,6056
7238,5993,3020,5941,6338,5475,5112,5977,7623,6643
7588,6531,3307,6387,6889,5899,5568,6428,8114,6962
7961,7032,3562,6887,7383,6347,5942,6870,8493,7261
8426,7524,4009,7512,7991,6924,6469,7344,8874,7699
8817,7918,4415,8007,8414,7444,6989,7766,9197,8065
9113,8261,4810,8426,8776,7946,7527,8090,9427,8406
9352,8598,5365,8716,9069,8290,8040,8400,9586,8677
9489,8817,5882,8936,9297,8601,8496,8719,9707,8905
9592,9106,6207,9153,9387,8905,8786,9036,9825,9138
9667,9324,6519,9323,9470,9121,9040,9266,9896,9293
9749,9449,7063,9460,9617,9302,9259,9471,9954,9414
9783,9527,7469,9553,9686,9445,9423,9594,9984,9482
9805,9588,7845,9629,9744,9533,9532,9678,10011,9538
9827,9620,8121,9690,9779,9603,9614,9731,10020,9586
9835,9656,8349,9735,9800,9665,9664,9769,10038,9627
9847,9696,8464,9791,9810,9765,9730,9830,10050,9706
9854,9736,8596,9820,9819,9827,9787,9875,10053,9771
