Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 42.49      1.59     1.59 10780445     0.00     0.00  stride::ContactPool::SortMembers()
 11.26      2.01     0.42      102     0.00     0.00  stride::Population::GetInfectedCount() const
  6.57      2.25     0.25 10780445     0.00     0.00  stride::Infector<(stride::ContactLogMode::Id)1, false, true>::Exec(stride::ContactPool&, stride::AgeContactProfile const&, stride::TransmissionProfile const&, stride::ContactHandler&, unsigned short, std::shared_ptr<spdlog::logger>)
  6.43      2.49     0.24 30006800     0.00     0.00  stride::Person::Update(bool, bool, bool)
  3.49      2.62     0.13 23461374     0.00     0.00  std::_Function_handler<double (), std::_Bind<trng::uniform01_dist<double> (std::reference_wrapper<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::specific_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> > >)> >::_M_invoke(std::_Any_data const&)
  3.22      2.74     0.12        1     0.12     0.12  geopop::K12SchoolPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  2.68      2.84     0.10 11443052     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  2.41      2.93     0.09        1     0.09     0.10  stride::Immunizer::Random(stride::util::SegmentedVector<stride::ContactPool, 512ul, true> const&, std::vector<double, std::allocator<double> >&, double)
  2.14      3.01     0.08 30006800     0.00     0.00  stride::Health::Update()
  1.88      3.08     0.07        1     0.07     0.08  geopop::SecondaryCommunityPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  1.88      3.15     0.07       50     0.00     0.05  stride::Sim::TimeStep()
  1.88      3.22     0.07        1     0.07     0.08  geopop::CollegePopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  1.88      3.29     0.07        1     0.07     0.09  geopop::PrimaryCommunityPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  1.61      3.35     0.06        1     0.06     0.16  geopop::WorkplacePopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  1.34      3.40     0.05  1574758     0.00     0.00  std::_Function_handler<int (), std::_Bind<trng::discrete_dist (std::reference_wrapper<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::specific_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> > >)> >::_M_invoke(std::_Any_data const&)
  1.34      3.45     0.05        1     0.05     0.08  geopop::HouseholdPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  0.80      3.48     0.03  1190218     0.00     0.00  geopop::Populator::MakeChoice(double)
  0.80      3.51     0.03        1     0.03     0.04  stride::HealthSeeder::Seed(std::shared_ptr<stride::Population> const&, std::vector<stride::ContactHandler, std::allocator<stride::ContactHandler> >&)
  0.67      3.54     0.03  2267869     0.00     0.00  stride::ContactPool::AddMember(stride::Person*)
  0.54      3.56     0.02   600136     0.00     0.00  stride::Population::CreatePerson(unsigned int, double, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
  0.54      3.58     0.02      327     0.00     0.00  geopop::WorkplacePopulator::CalculateCommutingLocations()
  0.54      3.60     0.02        1     0.02     0.19  stride::SimBuilder::Build(std::shared_ptr<stride::Sim>, std::shared_ptr<stride::Population>)
  0.27      3.61     0.01  1857196     0.00     0.00  char& std::vector<char, std::allocator<char> >::emplace_back<char>(char&&)
  0.27      3.62     0.01   371311     0.00     0.00  __tcf_0
  0.27      3.63     0.01   304483     0.00     0.00  geopop::WorkplacePopulator::AssignActive(stride::Person*)
