Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 41.97      1.62     1.62 10780445     0.00     0.00  stride::ContactPool::SortMembers()
 13.73      2.15     0.53      102     0.01     0.01  stride::Population::GetInfectedCount() const
  6.74      2.41     0.26 10780445     0.00     0.00  stride::Infector<(stride::ContactLogMode::Id)1, false, true>::Exec(stride::ContactPool&, stride::AgeContactProfile const&, stride::TransmissionProfile const&, stride::ContactHandler&, unsigned short, std::shared_ptr<spdlog::logger>)
  3.89      2.56     0.15 30006800     0.00     0.00  stride::Person::Update(bool, bool, bool)
  3.63      2.70     0.14 23461374     0.00     0.00  std::_Function_handler<double (), std::_Bind<trng::uniform01_dist<double> (std::reference_wrapper<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::specific_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> > >)> >::_M_invoke(std::_Any_data const&)
  3.37      2.83     0.13        1     0.13     0.15  geopop::CollegePopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  2.33      2.92     0.09 30006800     0.00     0.00  stride::Health::Update()
  2.33      3.01     0.09        1     0.09     0.10  geopop::K12SchoolPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  2.33      3.10     0.09        1     0.09     0.19  geopop::WorkplacePopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  2.33      3.19     0.09 11443052     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  1.81      3.26     0.07        1     0.07     0.07  stride::Immunizer::Random(stride::util::SegmentedVector<stride::ContactPool, 512ul, true> const&, std::vector<double, std::allocator<double> >&, double)
  1.55      3.32     0.06       50     0.00     0.05  stride::Sim::TimeStep()
  1.55      3.38     0.06        1     0.06     0.08  geopop::SecondaryCommunityPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  1.55      3.44     0.06        1     0.06     0.09  geopop::HouseholdPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  1.55      3.50     0.06        1     0.06     0.08  geopop::PrimaryCommunityPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  1.04      3.54     0.04  2267869     0.00     0.00  stride::ContactPool::AddMember(stride::Person*)
  1.04      3.58     0.04      327     0.00     0.00  geopop::WorkplacePopulator::CalculateCommutingLocations()
  0.78      3.61     0.03  1574758     0.00     0.00  std::_Function_handler<int (), std::_Bind<trng::discrete_dist (std::reference_wrapper<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::specific_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> > >)> >::_M_invoke(std::_Any_data const&)
  0.78      3.64     0.03        1     0.03     0.04  stride::HealthSeeder::Seed(std::shared_ptr<stride::Population> const&, std::vector<stride::ContactHandler, std::allocator<stride::ContactHandler> >&)
  0.52      3.66     0.02  1190218     0.00     0.00  geopop::Populator::MakeChoice(double)
  0.52      3.68     0.02   600136     0.00     0.00  stride::Population::CreatePerson(unsigned int, double, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
