Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 70.05    314.07   314.07 2996566261     0.00     0.00  std::_Function_handler<double (), std::_Bind<trng::uniform01_dist<double> (std::reference_wrapper<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::specific_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> > >)> >::_M_invoke(std::_Any_data const&)
 25.06    426.41   112.35 10780445     0.00     0.00  stride::Infector<(stride::ContactLogMode::Id)3, false, false>::Exec(stride::ContactPool&, stride::AgeContactProfile const&, stride::TransmissionProfile const&, stride::ContactHandler&, unsigned short, std::shared_ptr<spdlog::logger>)
  4.43    446.28    19.87        1    19.87    20.31  stride::SimBuilder::Build(std::shared_ptr<stride::Sim>, std::shared_ptr<stride::Population>)
  0.10    446.74     0.46      102     0.00     0.00  stride::Population::GetInfectedCount() const
  0.05    446.97     0.23 30006800     0.00     0.00  stride::Person::Update(bool, bool, bool)
  0.04    447.16     0.19        1     0.19     0.20  geopop::CollegePopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  0.03    447.28     0.12       50     0.00     8.53  stride::Sim::TimeStep()
  0.03    447.40     0.12        1     0.12     0.12  geopop::K12SchoolPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  0.02    447.50     0.10        1     0.10     0.20  geopop::WorkplacePopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  0.02    447.60     0.10        1     0.10     0.12  stride::Immunizer::Random(stride::util::SegmentedVector<stride::ContactPool, 512ul, true> const&, std::vector<double, std::allocator<double> >&, double)
  0.02    447.69     0.09        1     0.09     0.11  geopop::HouseholdPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  0.02    447.76     0.07 30006800     0.00     0.00  stride::Health::Update()
  0.02    447.83     0.07 11443052     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.01    447.89     0.06        1     0.06     0.09  geopop::PrimaryCommunityPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
