Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 50.69      4.81     4.81 32379429     0.00     0.00  stride::ContactPool::SortMembers()
 14.33      6.17     1.36      302     0.00     0.00  stride::Population::GetInfectedCount() const
  9.06      7.03     0.86 32379429     0.00     0.00  stride::Infector<(stride::ContactLogMode::Id)1, false, true>::Exec(stride::ContactPool&, stride::AgeContactProfile const&, stride::TransmissionProfile const&, stride::ContactHandler&, unsigned short, std::shared_ptr<spdlog::logger>)
  5.74      7.58     0.55 90020400     0.00     0.00  stride::Person::Update(bool, bool, bool)
  4.64      8.02     0.44 66454060     0.00     0.00  std::_Function_handler<double (), std::_Bind<trng::uniform01_dist<double> (std::reference_wrapper<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::specific_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> > >)> >::_M_invoke(std::_Any_data const&)
  2.53      8.26     0.24      150     0.00     0.05  stride::Sim::TimeStep()
  1.58      8.41     0.15 33043036     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  1.32      8.53     0.13 90020400     0.00     0.00  stride::Health::Update()
  1.26      8.65     0.12        1     0.12     0.13  geopop::CollegePopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  1.05      8.75     0.10        1     0.10     0.10  geopop::K12SchoolPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  0.95      8.84     0.09        1     0.09     0.09  stride::Immunizer::Random(stride::util::SegmentedVector<stride::ContactPool, 512ul, true> const&, std::vector<double, std::allocator<double> >&, double)
  0.74      8.91     0.07        1     0.07     0.07  geopop::HouseholdPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
