Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 39.60      0.59     0.59  3593540     0.00     0.00  stride::ContactPool::SortMembers()
 18.12      0.86     0.27      102     0.00     0.00  stride::Population::GetInfectedCount() const
  6.71      0.96     0.10  9981150     0.00     0.00  stride::Person::Update(bool, bool, bool)
  6.04      1.05     0.09  3593540     0.00     0.00  stride::Infector<(stride::ContactLogMode::Id)1, false, true>::Exec(stride::ContactPool&, stride::AgeContactProfile const&, stride::TransmissionProfile const&, stride::ContactHandler&, unsigned short, std::shared_ptr<spdlog::logger>)
  3.36      1.10     0.05       50     0.00     0.02  stride::Sim::TimeStep()
  2.68      1.14     0.04        1     0.04     0.04  geopop::K12SchoolPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  2.68      1.18     0.04        1     0.04     0.04  stride::Immunizer::Random(stride::util::SegmentedVector<stride::ContactPool, 512ul, true> const&, std::vector<double, std::allocator<double> >&, double)
  2.01      1.21     0.03      327     0.00     0.00  geopop::WorkplacePopulator::CalculateCommutingLocations()
  2.01      1.24     0.03        1     0.03     0.03  geopop::HouseholdPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  1.34      1.26     0.02  9981150     0.00     0.00  stride::Health::Update()
