Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 42.64      1.94     1.94 10780445     0.00     0.00  stride::ContactPool::SortMembers()
 12.31      2.50     0.56      102     0.01     0.01  stride::Population::GetInfectedCount() const
  6.48      2.80     0.30 10780445     0.00     0.00  stride::Infector<(stride::ContactLogMode::Id)1, false, true>::Exec(stride::ContactPool&, stride::AgeContactProfile const&, stride::TransmissionProfile const&, stride::ContactHandler&, unsigned short, std::shared_ptr<spdlog::logger>)
  5.05      3.03     0.23 30006800     0.00     0.00  stride::Person::Update(bool, bool, bool)
  2.86      3.16     0.13       50     0.00     0.06  stride::Sim::TimeStep()
  2.86      3.29     0.13        1     0.13     0.13  stride::Immunizer::Random(stride::util::SegmentedVector<stride::ContactPool, 512ul, true> const&, std::vector<double, std::allocator<double> >&, double)
  2.64      3.41     0.12        1     0.12     0.13  geopop::CollegePopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  2.64      3.53     0.12        1     0.12     0.12  geopop::K12SchoolPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  2.20      3.63     0.10 30006800     0.00     0.00  stride::Health::Update()
  1.98      3.72     0.09        1     0.09     0.10  geopop::SecondaryCommunityPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  1.76      3.80     0.08 11443052     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  1.76      3.88     0.08        1     0.08     0.21  geopop::WorkplacePopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  1.65      3.95     0.08 23461374     0.00     0.00  std::_Function_handler<double (), std::_Bind<trng::uniform01_dist<double> (std::reference_wrapper<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::specific_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> > >)> >::_M_invoke(std::_Any_data const&)
  1.54      4.02     0.07        1     0.07     0.09  geopop::PrimaryCommunityPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  1.54      4.09     0.07        1     0.07     0.12  geopop::HouseholdPopulator::Apply(std::shared_ptr<geopop::GeoGrid>, geopop::GeoGridConfig const&)
  0.88      4.13     0.04  2267869     0.00     0.00  stride::ContactPool::AddMember(stride::Person*)
  0.88      4.17     0.04  1190218     0.00     0.00  geopop::Populator::MakeChoice(double)
  0.88      4.21     0.04        1     0.04     0.06  stride::HealthSeeder::Seed(std::shared_ptr<stride::Population> const&, std::vector<stride::ContactHandler, std::allocator<stride::ContactHandler> >&)
  0.66      4.24     0.03   600136     0.00     0.00  stride::Population::CreatePerson(unsigned int, double, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
